task_id,title,claimed_status_previous_run,claimed_maturity_previous_run,acceptance_requirements,required_evidence_level,actual_evidence_refs,actual_evidence_level,highest_provable_maturity,reconciled_status,reason,human_gate_dependency,runtime_dependency,review_dependency,confidence
G0.11,"Comparar briefing, ZIP, código e runtime",ACCEPTED,TESTED_LOCAL,Drifts listados por severidade; nenhuma claim antiga herdada sem evidência.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.11.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G0.12,GO/NO-GO da Wave 0,ACCEPTED,TESTED_LOCAL,"Só libera execução quando segurança, baseline, graph e rollback estiverem verdes.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.12.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.01,Verificar hash do ZIP contra evidência existente,ACCEPTED,TESTED_LOCAL,Hash deve ser ce236ba32b01e11139052867d189ce76ce14bf9d9030d9a24512ebdba2252efb e corresponder ao batch privado já inventariado.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.01.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,VALIDATED_ACCEPTED,Independently verified via git/file checksum/schema validation.,,NO,PRO,HIGH
G1.02,Confirmar quarentena privada e permissões,ACCEPTED,TESTED_LOCAL,"Raw corpus permanece gitignored, owner-only e fora de logs/LLM/rede.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.02.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.03,Reexecutar ingest offline fail-closed existente,ACCEPTED,TESTED_LOCAL,Usar scripts/brain_corpus_ingest.py existente; não criar pipeline paralelo.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.03.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G1.04,Validar 90 fontes e 3.087 unidades,ACCEPTED,TESTED_LOCAL,"Contagens, formatos, hashes e erro zero conferem com evidence; divergência gera bloqueio.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.04.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,FLASH,HIGH
G1.05,Executar scan PII canônico e revisão contextual,ACCEPTED,TESTED_LOCAL,"Padrões canônicos residuais zero; nomes/endereço/contexto entram em fila humana, sem publicação automática.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.05.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G1.06,Consolidar duplicatas exatas e near-duplicates,ACCEPTED,TESTED_LOCAL,"1 duplicata exata e grupos semelhantes mapeados; nenhuma fonte apagada, apenas canonical/superseded.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.06.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,SPARK,HIGH
G1.07,Classificar autoridade de cada fonte,ACCEPTED,TESTED_LOCAL,"Cada fonte recebe classe: normativa, tabela operacional, interno, template, análise gerada ou quarentena.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.07.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G1.08,Gerar fila humana priorizada,ACCEPTED,TESTED_LOCAL,"Ambíguas, OCR, PII contextual, conflitos e templates aparecem com razão e sem conteúdo sensível.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.08.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G1.09,Criar mapa canonical/superseded por serviço,ACCEPTED,TESTED_LOCAL,"Um canonical por assunto, versões preservadas e justificativa registrada.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.09.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.10,Detectar e remover blocos internos repetidos nos derivados,ACCEPTED,TESTED_LOCAL,Blocos repetidos são marcados; derivados canônicos não repetem conteúdo sem perder locators.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.10.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,FLASH,HIGH
G1.11,"Extrair vigência, data e versão das fontes",ACCEPTED,TESTED_LOCAL,Fatos temporais têm effective_from/effective_to/source locator; ausências ficam UNKNOWN.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.11.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.12,Rebaixar análises Gemini/LLM a hipótese,ACCEPTED,TESTED_LOCAL,Nenhum texto gerado é fonte final; cada claim precisa apontar norma/tabela/documento humano.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.12.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,TERRA,HIGH
G1.13,Extrair citações normativas verificáveis,ACCEPTED,TESTED_LOCAL,"Citações incluem diploma, artigo/item, página/locator, vigência e hash.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.13.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,SPARK,HIGH
G1.14,Atomizar requisitos documentais por ato,ACCEPTED,TESTED_LOCAL,"Cada requisito é fato atômico, condicional e rastreável; sem aconselhamento jurídico automático.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.14.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.15,Consolidar taxonomia de serviços e sinônimos,ACCEPTED,TESTED_LOCAL,"Slugs canônicos, aliases, termos populares e atos proibidos/ambíguos definidos.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.15.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.16,Construir registry de conflitos de conteúdo/valor,ACCEPTED,TESTED_LOCAL,"Conflitos têm fontes, tipo, severidade, comportamento fail-closed e dono humano.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.16.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.17,Resolver inconsistências aritméticas óbvias sem apagar histórico,ACCEPTED,TESTED_LOCAL,Correções geram nova versão/supersede; nenhuma cifra é alterada sem fonte e aprovação.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.17.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G1.18,Preparar pacote de validação para escrevente/DPO/fiscal,ACCEPTED,TESTED_LOCAL,"Pacote apresenta apenas decisões necessárias, diferenças e evidência; aprovação é nominal.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.18.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG-02) requiring explicit external human signoff.,HG-02,NO,SOL,HIGH
G1.19,Revalidar extração das 3 tabelas e 79 linhas,ACCEPTED,TESTED_LOCAL,"79/79 linhas parseadas; 79/79 totais fecham; 78/79 ISS fecham em 5% half-up e a anomalia de R$0,01 do código 1606-3 entra no conflict registry.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.19.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G1.20,Fazer crosswalk com Portaria TJMG 8.664/2025,ACCEPTED,TESTED_LOCAL,"Cada ato/faixa aponta item oficial; diferenças são explicadas, não sobrescritas.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.20.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,TERRA,HIGH
G1.21,Definir schema dual-layer regulatório vs operacional,ACCEPTED,TESTED_LOCAL,"Campos explicitam gross/net, RECOMPE, fundos, ISS, TFJ, total regulatório, total operacional, fonte e estado.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.21.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.22,Implementar validador declarativo de fórmulas,ACCEPTED,TESTED_LOCAL,Decimal/ROUND_HALF_UP; nenhuma float; regras fechadas; falha em valor incompatível.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.22.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,PRO,HIGH
G1.23,Mapear tabela geral operacional,ACCEPTED,TESTED_LOCAL,29 atos/códigos importados idempotentemente com proveniência e vigência.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.23.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G1.24,Mapear faixas de escrituras com conteúdo financeiro,ACCEPTED,TESTED_LOCAL,"Faixas contíguas, limites e códigos conferem; regras compostas permanecem HITL até aprovação.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.24.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG-01) requiring explicit external human signoff.,HG-01,NO,TERRA,HIGH
G1.25,Mapear testamento/alteração com conteúdo financeiro,ACCEPTED,TESTED_LOCAL,"Códigos duplos, metade das faixas e limites preservados; sem arredondamento implícito.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.25.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G1.26,Implementar limites da Nota XXV em duas camadas,ACCEPTED,TESTED_LOCAL,"Primeira faixa, subsequentes, fração e teto seguem norma; decomposição operacional só usa valores aprovados.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.26.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.27,Registrar proveniência de cada componente,ACCEPTED,TESTED_LOCAL,"Cada componente tem source_id, locator, hash, effective date e reviewer.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.27.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G1.28,Comparar catálogo operacional com engine regulatório atual,ACCEPTED,TESTED_LOCAL,"Diff cobre 100% dos mapeáveis e classifica dual-layer, stale, missing source e true conflict.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.28.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,TERRA,HIGH
G1.29,Implementar serviço operacional sem quebrar engine oficial,ACCEPTED,TESTED_LOCAL,"Engine oficial permanece; adapter operacional explícito, versionado, fail-closed e não público antes do sign-off.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.29.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G1.30,Criar regressão parametrizada de todas as 79 linhas,ACCEPTED,TESTED_LOCAL,"79/79 exatas, fórmulas, boundaries, aliases e erros de fonte cobertos.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.30.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G1.31,Definir capability matrix pública/interna/HITL/proibida,ACCEPTED,TESTED_LOCAL,"Toda função tem risco, side effect, auth, PII class, approval e canal permitido.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.31.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,TERRA,HIGH
G1.32,Criar contratos tipados e envelopes de erro,ACCEPTED,TESTED_LOCAL,"Pydantic v2, RFC7807, provenance, uncertainty e HITL_REQUIRED padronizados.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.32.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.33,Implementar consulta de requisitos por ato,ACCEPTED,TESTED_LOCAL,Somente fatos PUBLISHED; condições e fonte retornadas; ausência vira HITL.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.33.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.34,Implementar checklist documental read-only,ACCEPTED,TESTED_LOCAL,Checklist não valida juridicamente documentos; apenas orienta com fonte e ressalva.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.34.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.35,Implementar consulta de proveniência/conflito interna,ACCEPTED,TESTED_LOCAL,"Staff consegue ver fonte, versões e conflitos sem revelar corpus bruto ao canal público.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.35.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.36,Adaptar cartorio_calcular_emolumento às camadas aprovadas,ACCEPTED,TESTED_LOCAL,"Resposta identifica camada, vigência, componentes, source e status; ambiguidade/composto = HITL.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.36.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G1.37,Implementar criação somente DRAFT e resumo de handoff,ACCEPTED,TESTED_LOCAL,Nenhum ato final; protocolo/agendamento/handoff nascem DRAFT e exigem humano.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.37.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.38,Criar perfis MCP por canal com allowlists mínimas,ACCEPTED,TESTED_LOCAL,Lark piloto mantém somente tools explicitamente aprovadas; tools de escrita ficam fora.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.38.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.39,Garantir retrieval somente de estado PUBLISHED,ACCEPTED,TESTED_LOCAL,Queries ignoram PENDING/APPROVED não publicado/revoked/superseded; testes negativos obrigatórios.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.39.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.40,Aplicar models/migration do bounded context em staging,ACCEPTED,TESTED_LOCAL,"Migration reversível, 1 head, constraints/idempotency e audit aprovados; sem auto-publish.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.40.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G1.41,Gerar conjunto ouro de perguntas e respostas,ACCEPTED,TESTED_LOCAL,"Cobertura por serviço, origem e risco; valores vêm de fixture aprovada, nunca da memória do modelo.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.41.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.42,Criar casos jurídicos/ambíguos que exigem abstenção,ACCEPTED,TESTED_LOCAL,"Isenção, urgência, validade jurídica, emissão e exceções sempre acionam HITL.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.42.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,TERRA,HIGH
G1.43,"Criar suite PII, prompt injection e data exfiltration",ACCEPTED,TESTED_LOCAL,Zero eco PII/secret; identidade Pietra; nenhuma infra interna exposta.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.43.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.44,"Medir alucinação, citação e abstention",ACCEPTED,TESTED_LOCAL,Thresholds definidos; toda resposta factual tem fonte ou abstém.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.44.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.45,"Medir latência, custo e cache sem reduzir segurança",ACCEPTED,TESTED_LOCAL,"P50/P95, cache hit, custo e falhas registrados; PII/HITL não são cacheados incorretamente.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.45.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,TERRA,HIGH
G1.46,Executar validação humana e publicação controlada,ACCEPTED,TESTED_LOCAL,Somente fontes/versões/fatos assinados passam APPROVED→PUBLISHED; published_eligible deixa zero apenas nominalmente aprovado.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.46.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG-01) requiring explicit external human signoff.,HG-01,NO,SOL,HIGH
G1.47,Atualizar MEMORY/BRAIN com lições sanitizadas,ACCEPTED,TESTED_LOCAL,"Somente decisões generalizáveis, sem valores de secrets/PII; loop-state e graph sincronizados.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.47.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,NO,PRO,HIGH
G1.48,Aceite final da Tarefa 1,ACCEPTED,TESTED_LOCAL,"QA verde, catálogo dual aprovado, funções testadas, retrieval PUBLISHED-only e rollback ensaiado.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G1.48.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
G2.01,Reconciliar plano Lark e recovery mais recentes,ACCEPTED,TESTED_LOCAL,"Estado conhecido: Hermes canônico, P2 ainda a comprovar e processor not found bloqueador; docs antigos marcados stale.",E6_END_TO_END,.evidence/graph-engineer/G2.01.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,YES,SOL,HIGH
G2.02,Provar consumidor único do canal,ACCEPTED,TESTED_LOCAL,"Uma réplica, uma task, uma conexão; Flask/router/standalone sem credenciais/subscription ativa.",E6_END_TO_END,.evidence/graph-engineer/G2.02.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,YES,PRO,HIGH
G2.03,Quarentenar consumidores e runbooks legados,ACCEPTED,TESTED_LOCAL,Nenhum legado recebe eventos; código preservado apenas como histórico ou removido por supersede/PR.,E6_END_TO_END,.evidence/graph-engineer/G2.03.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,YES,PRO,HIGH
G2.04,"Confirmar tenant Lark global, app e ownership",ACCEPTED,TESTED_LOCAL,"Lark vs Feishu, app_id metadata, admins e ambiente confirmados sem expor secret.",E6_END_TO_END,.evidence/graph-engineer/G2.04.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG-03) requiring explicit external human signoff.,HG-03,YES,PRO,HIGH
G2.05,Aplicar menor privilégio de scopes,ACCEPTED,TESTED_LOCAL,"Piloto: DM ao bot, grupo com @, envio como bot; sem read-all, contacts, drive, docs, calendar, mail, offline/user token.",E6_END_TO_END,.evidence/graph-engineer/G2.05.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,YES,LUNA,HIGH
G2.06,Migrar assinatura para im.message.receive_v1 P2,ACCEPTED,TESTED_LOCAL,Evento legado message/message_read removido ou P2; P2 salvo/publicado no tenant.,E6_END_TO_END,.evidence/graph-engineer/G2.06.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,YES,PRO,HIGH
G2.07,Configurar visibilidade nominal e pairing/allowlist,ACCEPTED,TESTED_LOCAL,Usuários/grupos aprovados somente; grupo requer @; bots bloqueados; runtime confere com repo.,E6_END_TO_END,.evidence/graph-engineer/G2.07.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,YES,PRO,HIGH
G2.08,Publicar versão do app após revisão,ACCEPTED,TESTED_LOCAL,Versão publicada contém somente scopes/eventos aprovados; rollback version conhecido.,E6_END_TO_END,.evidence/graph-engineer/G2.08.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,YES,PRO,HIGH
G2.09,Comparar config versionada vs carregada,ACCEPTED,TESTED_LOCAL,"Diff sanitizado confirma websocket, allowlist, mention, no bots, final-only e tool allowlist.",E6_END_TO_END,.evidence/graph-engineer/G2.09.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,YES,PRO,HIGH
G2.10,"Validar 1/1, task única e WebSocket único",ACCEPTED,TESTED_LOCAL,Sem race de supervisor/persisted state; somente Swarm supervisiona.,E6_END_TO_END,.evidence/graph-engineer/G2.10.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,YES,PRO,HIGH
G2.11,Validar Docker Secrets fail-closed,ACCEPTED,TESTED_LOCAL,Ausência de secret causa exit 78; nenhum valor aparece em spec/logs/evidence.,E6_END_TO_END,.evidence/graph-engineer/G2.11.md,E0_SELF_ASSERTED,UNVERIFIED,UNVERIFIED,Self-asserted claim in markdown without external execution trace or reviewer signoff.,,YES,PRO,HIGH
